source,segment_type,segment_number,row_index,time_s,segment_time_s,distance_m,segment_distance_m,live_delta_to_best_s,live_delta_error,final_delta_to_best_s,lat,lon,speed_mph,yaw_deg,pitch_deg,roll_deg,pos_uncertainty_m
VN300_2026-07-12_14-41-49_VNINS.csv,lap,2,12378,309.540894,0.000000,816.887,0.000,0.000000,,-10.657980,35.52849879,-97.47520419,38.738,152.238,4.303,-8.032,0.720
VN300_2026-07-12_14-41-49_VNINS.csv,lap,2,12379,309.814491,0.273597,817.321,0.433,0.273597,,-10.657980,35.52849531,-97.47520634,38.703,152.898,4.406,-7.866,0.720
VN300_2026-07-12_14-41-49_VNINS.csv,lap,2,12380,309.814491,0.273597,817.752,0.865,0.273597,,-10.657980,35.52849186,-97.47520853,38.676,153.640,4.589,-7.886,0.720
VN300_2026-07-12_14-41-49_VNINS.csv,lap,2,12381,309.814491,0.273597,818.185,1.297,0.273597,,-10.657980,35.52848842,-97.47521076,38.639,154.394,4.790,-7.944,0.720
VN300_2026-07-12_14-41-49_VNINS.csv,lap,2,12382,309.814491,0.273597,818.616,1.729,0.273597,,-10.657980,35.52848500,-97.47521301,38.497,155.108,4.788,-7.931,0.720
VN300_2026-07-12_14-41-49_VNINS.csv,lap,2,12383,309.814491,0.273597,818.743,1.856,0.273597,,-10.657980,35.52848547,-97.47521429,37.421,155.813,4.565,-7.652,0.710
VN300_2026-07-12_14-41-49_VNINS.csv,lap,2,12384,309.814491,0.273597,819.161,2.274,0.273597,,-10.657980,35.52848220,-97.47521657,37.430,156.565,4.162,-7.365,0.710
VN300_2026-07-12_14-41-49_VNINS.csv,lap,2,12385,309.814491,0.273597,819.581,2.693,0.273597,,-10.657980,35.52847895,-97.47521892,37.696,157.462,3.858,-7.214,0.710
VN300_2026-07-12_14-41-49_VNINS.csv,lap,2,12386,309.814491,0.273597,820.002,3.114,0.273597,,-10.657980,35.52847572,-97.47522135,37.798,158.590,3.870,-7.227,0.710
VN300_2026-07-12_14-41-49_VNINS.csv,lap,2,12387,309.814491,0.273597,820.425,3.537,0.236884,,-10.657980,35.52847249,-97.47522382,37.907,159.959,4.211,-7.228,0.710
VN300_2026-07-12_14-41-49_VNINS.csv,lap,2,12388,309.814491,0.273597,820.849,3.962,0.020180,,-10.657980,35.52846927,-97.47522634,38.022,161.432,4.692,-7.087,0.720
VN300_2026-07-12_14-41-49_VNINS.csv,lap,2,12389,309.814491,0.273597,821.274,4.387,0.020180,,-10.657980,35.52846608,-97.47522893,38.067,162.889,5.122,-7.017,0.720
VN300_2026-07-12_14-41-49_VNINS.csv,lap,2,12390,310.068320,0.527426,821.699,4.812,0.274009,,-10.657980,35.52846292,-97.47523157,38.047,164.271,5.362,-6.977,0.720
VN300_2026-07-12_14-41-49_VNINS.csv,lap,2,12391,310.068320,0.527426,821.906,5.019,0.274009,,-10.657980,35.52846360,-97.47523370,36.996,165.480,5.346,-6.773,0.710
VN300_2026-07-12_14-41-49_VNINS.csv,lap,2,12392,310.068320,0.527426,822.313,5.425,0.274009,,-10.657980,35.52846068,-97.47523640,36.956,166.725,5.099,-6.607,0.710
VN300_2026-07-12_14-41-49_VNINS.csv,lap,2,12393,310.068320,0.527426,822.726,5.838,0.274009,,-10.657980,35.52845773,-97.47523917,37.016,167.923,4.885,-6.437,0.710
VN300_2026-07-12_14-41-49_VNINS.csv,lap,2,12394,310.068320,0.527426,823.139,6.252,0.274009,,-10.657980,35.52845481,-97.47524200,37.019,169.098,4.770,-6.286,0.710
VN300_2026-07-12_14-41-49_VNINS.csv,lap,2,12395,310.068320,0.527426,823.551,6.663,0.274009,,-10.657980,35.52845193,-97.47524486,36.849,170.209,4.622,-6.040,0.710
VN300_2026-07-12_14-41-49_VNINS.csv,lap,2,12396,310.068320,0.527426,823.961,7.074,0.274009,,-10.657980,35.52844908,-97.47524774,36.707,171.276,4.477,-5.457,0.710
VN300_2026-07-12_14-41-49_VNINS.csv,lap,2,12397,310.068320,0.527426,824.371,7.484,0.274009,,-10.657980,35.52844626,-97.47525066,36.658,172.300,4.389,-5.122,0.710
VN300_2026-07-12_14-41-49_VNINS.csv,lap,2,12398,310.068320,0.527426,824.779,7.892,0.159643,,-10.657980,35.52844347,-97.47525359,36.605,173.188,4.305,-4.832,0.710
VN300_2026-07-12_14-41-49_VNINS.csv,lap,2,12399,310.068320,0.527426,825.158,8.271,0.002306,,-10.657980,35.52844490,-97.47525739,35.533,174.056,4.209,-4.939,0.700
VN300_2026-07-12_14-41-49_VNINS.csv,lap,2,12400,310.321883,0.780989,825.553,8.666,0.255869,,-10.657980,35.52844233,-97.47526040,35.373,174.875,4.144,-5.156,0.710
VN300_2026-07-12_14-41-49_VNINS.csv,lap,2,12401,310.321883,0.780989,825.946,9.059,0.255869,,-10.657980,35.52843980,-97.47526344,35.340,175.702,4.037,-5.498,0.710
VN300_2026-07-12_14-41-49_VNINS.csv,lap,2,12402,310.321883,0.780989,826.339,9.452,0.255869,,-10.657980,35.52843733,-97.47526654,35.240,176.592,4.130,-5.944,0.710
VN300_2026-07-12_14-41-49_VNINS.csv,lap,2,12403,310.321883,0.780989,826.731,9.844,0.255869,,-10.657980,35.52843488,-97.47526966,35.110,177.496,4.345,-5.815,0.710
VN300_2026-07-12_14-41-49_VNINS.csv,lap,2,12404,310.321883,0.780989,827.122,10.234,0.255869,,-10.657980,35.52843249,-97.47527282,35.045,178.511,4.644,-5.624,0.710
VN300_2026-07-12_14-41-49_VNINS.csv,lap,2,12405,310.321883,0.780989,827.513,10.626,0.255869,,-10.657980,35.52843014,-97.47527604,35.100,179.632,5.219,-5.337,0.710
VN300_2026-07-12_14-41-49_VNINS.csv,lap,2,12406,310.321883,0.780989,827.903,11.015,0.255869,,-10.657980,35.52842785,-97.47527930,35.011,-179.158,5.931,-5.251,0.710
VN300_2026-07-12_14-41-49_VNINS.csv,lap,2,12407,310.321883,0.780989,828.291,11.404,0.255869,,-10.657980,35.52842562,-97.47528260,34.723,-178.191,6.316,-5.643,0.710
VN300_2026-07-12_14-41-49_VNINS.csv,lap,2,12408,310.321883,0.780989,828.501,11.613,0.255869,,-10.657980,35.52842700,-97.47528418,33.355,-177.353,6.274,-5.694,0.700
VN300_2026-07-12_14-41-49_VNINS.csv,lap,2,12409,310.321883,0.780989,828.872,11.985,0.255869,,-10.657980,35.52842496,-97.47528743,33.234,-176.518,6.049,-5.608,0.700
VN300_2026-07-12_14-41-49_VNINS.csv,lap,2,12410,310.321883,0.780989,829.242,12.355,0.186293,,-10.657980,35.52842295,-97.47529069,33.206,-175.655,5.753,-4.943,0.700
VN300_2026-07-12_14-41-49_VNINS.csv,lap,2,12411,310.575665,1.034771,829.612,12.725,0.255738,,-10.657980,35.52842098,-97.47529398,33.325,-174.747,5.465,-4.588,0.700
VN300_2026-07-12_14-41-49_VNINS.csv,lap,2,12412,310.575665,1.034771,829.983,13.096,0.255738,,-10.657980,35.52841905,-97.47529733,33.323,-173.746,5.407,-4.781,0.710
VN300_2026-07-12_14-41-49_VNINS.csv,lap,2,12413,310.575665,1.034771,830.354,13.467,0.255738,,-10.657980,35.52841713,-97.47530068,33.327,-172.649,5.514,-4.168,0.710
