source,segment_type,segment_number,row_index,time_s,segment_time_s,distance_m,segment_distance_m,live_delta_to_best_s,live_delta_error,final_delta_to_best_s,lat,lon,speed_mph,yaw_deg,pitch_deg,roll_deg,pos_uncertainty_m
VN300_2026-07-12_14-41-49_VNINS.csv,lap,6,47636,1191.040477,0.000000,2856.186,0.000,0.000000,,-0.120641,35.52849923,-97.47580577,32.362,96.666,-16.294,-21.605,1.310
VN300_2026-07-12_14-41-49_VNINS.csv,lap,6,47637,1191.040477,0.000000,2856.548,0.362,0.000000,,-0.120641,35.52849602,-97.47580511,32.178,96.368,-16.526,-21.183,1.320
VN300_2026-07-12_14-41-49_VNINS.csv,lap,6,47638,1191.040477,0.000000,2856.908,0.722,0.000000,,-0.120641,35.52849283,-97.47580442,32.048,96.200,-16.729,-20.940,1.320
VN300_2026-07-12_14-41-49_VNINS.csv,lap,6,47639,1191.040477,0.000000,2857.379,1.193,0.000000,,-0.120641,35.52848876,-97.47580586,32.128,95.936,-16.942,-20.592,1.280
VN300_2026-07-12_14-41-49_VNINS.csv,lap,6,47640,1191.040477,0.000000,2857.739,1.553,0.000000,,-0.120641,35.52848556,-97.47580527,32.084,95.770,-17.122,-20.469,1.280
VN300_2026-07-12_14-41-49_VNINS.csv,lap,6,47641,1191.319768,0.279291,2858.098,1.912,0.279291,,-0.120641,35.52848237,-97.47580467,31.915,95.432,-17.297,-20.020,1.280
VN300_2026-07-12_14-41-49_VNINS.csv,lap,6,47642,1191.319768,0.279291,2858.455,2.269,0.219971,,-0.120641,35.52847920,-97.47580405,31.796,95.239,-17.440,-19.696,1.280
VN300_2026-07-12_14-41-49_VNINS.csv,lap,6,47643,1191.319768,0.279291,2858.809,2.623,0.026429,,-0.120641,35.52847605,-97.47580343,31.603,94.889,-17.630,-19.320,1.280
VN300_2026-07-12_14-41-49_VNINS.csv,lap,6,47644,1191.319768,0.279291,2859.162,2.976,0.006826,,-0.120641,35.52847292,-97.47580279,31.390,94.591,-17.857,-19.059,1.280
VN300_2026-07-12_14-41-49_VNINS.csv,lap,6,47645,1191.319768,0.279291,2859.514,3.328,0.006826,,-0.120641,35.52846980,-97.47580212,31.335,94.100,-18.078,-18.387,1.280
VN300_2026-07-12_14-41-49_VNINS.csv,lap,6,47646,1191.319768,0.279291,2859.864,3.678,0.006826,,-0.120641,35.52846670,-97.47580146,31.197,93.738,-18.263,-17.965,1.290
VN300_2026-07-12_14-41-49_VNINS.csv,lap,6,47647,1191.319768,0.279291,2860.213,4.027,0.006826,,-0.120641,35.52846361,-97.47580078,30.967,93.290,-18.434,-17.658,1.290
VN300_2026-07-12_14-41-49_VNINS.csv,lap,6,47648,1191.319768,0.279291,2860.613,4.427,0.006826,,-0.120641,35.52846006,-97.47580147,30.858,92.751,-18.651,-17.091,1.250
VN300_2026-07-12_14-41-49_VNINS.csv,lap,6,47649,1191.319768,0.279291,2860.958,4.772,0.006826,,-0.120641,35.52845700,-97.47580082,30.686,92.069,-18.824,-16.288,1.250
VN300_2026-07-12_14-41-49_VNINS.csv,lap,6,47650,1191.319768,0.279291,2861.301,5.115,0.006826,,-0.120641,35.52845397,-97.47580014,30.518,91.541,-18.991,-15.663,1.250
VN300_2026-07-12_14-41-49_VNINS.csv,lap,6,47651,1191.319768,0.279291,2861.642,5.456,0.006826,,-0.120641,35.52845095,-97.47579945,30.342,90.766,-19.155,-14.861,1.260
VN300_2026-07-12_14-41-49_VNINS.csv,lap,6,47652,1191.573515,0.533038,2861.981,5.795,0.260573,,-0.120641,35.52844796,-97.47579874,30.146,90.161,-19.383,-14.272,1.260
VN300_2026-07-12_14-41-49_VNINS.csv,lap,6,47653,1191.573515,0.533038,2862.318,6.132,0.260573,,-0.120641,35.52844499,-97.47579800,29.999,89.291,-19.510,-13.344,1.260
VN300_2026-07-12_14-41-49_VNINS.csv,lap,6,47654,1191.573515,0.533038,2862.653,6.467,0.149816,,-0.120641,35.52844204,-97.47579724,29.846,88.594,-19.597,-12.684,1.260
VN300_2026-07-12_14-41-49_VNINS.csv,lap,6,47655,1191.573515,0.533038,2863.053,6.867,0.006721,,-0.120641,35.52843844,-97.47579723,29.889,87.693,-19.616,-11.861,1.230
VN300_2026-07-12_14-41-49_VNINS.csv,lap,6,47656,1191.573515,0.533038,2863.386,7.200,0.006721,,-0.120641,35.52843551,-97.47579647,29.648,86.983,-19.706,-11.191,1.230
VN300_2026-07-12_14-41-49_VNINS.csv,lap,6,47657,1191.573515,0.533038,2863.718,7.532,0.006721,,-0.120641,35.52843260,-97.47579568,29.554,86.030,-19.675,-10.144,1.230
VN300_2026-07-12_14-41-49_VNINS.csv,lap,6,47658,1191.573515,0.533038,2864.048,7.862,0.006721,,-0.120641,35.52842970,-97.47579487,29.367,85.271,-19.661,-9.438,1.230
VN300_2026-07-12_14-41-49_VNINS.csv,lap,6,47659,1191.573515,0.533038,2864.376,8.190,0.006721,,-0.120641,35.52842683,-97.47579405,29.187,84.296,-19.609,-8.496,1.230
VN300_2026-07-12_14-41-49_VNINS.csv,lap,6,47660,1191.573515,0.533038,2864.702,8.516,0.006721,,-0.120641,35.52842398,-97.47579321,28.958,83.510,-19.663,-8.014,1.230
VN300_2026-07-12_14-41-49_VNINS.csv,lap,6,47661,1191.573515,0.533038,2865.025,8.839,0.006721,,-0.120641,35.52842116,-97.47579235,28.774,82.388,-19.568,-6.943,1.230
VN300_2026-07-12_14-41-49_VNINS.csv,lap,6,47662,1191.827054,0.786577,2865.348,9.162,0.260260,,-0.120641,35.52841835,-97.47579144,28.688,81.474,-19.492,-6.027,1.230
VN300_2026-07-12_14-41-49_VNINS.csv,lap,6,47663,1191.827054,0.786577,2865.711,9.525,0.260260,,-0.120641,35.52841514,-97.47579072,28.654,80.312,-19.330,-4.952,1.200
VN300_2026-07-12_14-41-49_VNINS.csv,lap,6,47664,1191.827054,0.786577,2866.030,9.844,0.260260,,-0.120641,35.52841237,-97.47578978,28.511,79.382,-19.331,-4.178,1.200
VN300_2026-07-12_14-41-49_VNINS.csv,lap,6,47665,1191.827054,0.786577,2866.349,10.163,0.058606,,-0.120641,35.52840961,-97.47578883,28.296,78.146,-19.170,-3.069,1.200
VN300_2026-07-12_14-41-49_VNINS.csv,lap,6,47666,1191.827054,0.786577,2866.665,10.479,0.006798,,-0.120641,35.52840688,-97.47578785,28.176,77.093,-19.068,-2.218,1.200
VN300_2026-07-12_14-41-49_VNINS.csv,lap,6,47667,1191.827054,0.786577,2866.981,10.795,0.006798,,-0.120641,35.52840416,-97.47578684,28.080,75.759,-18.712,-0.926,1.210
VN300_2026-07-12_14-41-49_VNINS.csv,lap,6,47668,1191.827054,0.786577,2867.294,11.108,0.006798,,-0.120641,35.52840147,-97.47578582,27.828,74.638,-18.445,-0.090,1.210
VN300_2026-07-12_14-41-49_VNINS.csv,lap,6,47669,1191.827054,0.786577,2867.606,11.420,0.006798,,-0.120641,35.52839881,-97.47578475,27.653,73.249,-17.951,1.303,1.210
VN300_2026-07-12_14-41-49_VNINS.csv,lap,6,47670,1191.827054,0.786577,2867.914,11.728,0.006798,,-0.120641,35.52839618,-97.47578367,27.501,72.071,-17.615,2.317,1.210
VN300_2026-07-12_14-41-49_VNINS.csv,lap,6,47671,1191.827054,0.786577,2868.301,12.115,0.006798,,-0.120641,35.52839295,-97.47578209,27.641,70.605,-16.995,3.854,1.180
VN300_2026-07-12_14-41-49_VNINS.csv,lap,6,47672,1192.080609,1.040132,2868.609,12.423,0.260353,,-0.120641,35.52839034,-97.47578093,27.496,69.371,-16.595,4.947,1.180
VN300_2026-07-12_14-41-49_VNINS.csv,lap,6,47673,1192.080609,1.040132,2868.916,12.730,0.260353,,-0.120641,35.52838775,-97.47577975,27.251,67.850,-15.918,6.469,1.180
VN300_2026-07-12_14-41-49_VNINS.csv,lap,6,47674,1192.080609,1.040132,2869.222,13.036,0.260353,,-0.120641,35.52838519,-97.47577853,27.124,66.562,-15.459,7.892,1.180
VN300_2026-07-12_14-41-49_VNINS.csv,lap,6,47675,1192.080609,1.040132,2869.525,13.339,0.260353,,-0.120641,35.52838266,-97.47577728,27.024,65.063,-14.626,9.711,1.180
VN300_2026-07-12_14-41-49_VNINS.csv,lap,6,47676,1192.080609,1.040132,2869.826,13.640,0.048311,,-0.120641,35.52838016,-97.47577601,26.787,63.795,-13.994,11.035,1.180
VN300_2026-07-12_14-41-49_VNINS.csv,lap,6,47677,1192.080609,1.040132,2870.125,13.939,0.006884,,-0.120641,35.52837769,-97.47577470,26.681,62.264,-12.872,12.977,1.180
VN300_2026-07-12_14-41-49_VNINS.csv,lap,6,47678,1192.080609,1.040132,2870.423,14.237,0.006884,,-0.120641,35.52837523,-97.47577338,26.496,60.921,-11.970,14.291,1.180
VN300_2026-07-12_14-41-49_VNINS.csv,lap,6,47679,1192.080609,1.040132,2870.719,14.533,0.006884,,-0.120641,35.52837281,-97.47577203,26.285,59.629,-11.066,15.743,1.180
VN300_2026-07-12_14-41-49_VNINS.csv,lap,6,47680,1192.080609,1.040132,2871.096,14.911,0.006884,,-0.120641,35.52837009,-97.47576953,26.517,58.463,-9.871,17.793,1.160
VN300_2026-07-12_14-41-49_VNINS.csv,lap,6,47681,1192.080609,1.040132,2871.392,15.206,0.006884,,-0.120641,35.52836771,-97.47576808,26.322,57.395,-8.737,19.623,1.160
VN300_2026-07-12_14-41-49_VNINS.csv,lap,6,47682,1192.347533,1.307056,2871.686,15.500,0.273808,,-0.120641,35.52836536,-97.47576660,26.186,56.444,-8.006,20.782,1.160
VN300_2026-07-12_14-41-49_VNINS.csv,lap,6,47683,1192.347533,1.307056,2871.978,15.792,0.273808,,-0.120641,35.52836303,-97.47576510,26.050,55.535,-7.182,22.038,1.160
VN300_2026-07-12_14-41-49_VNINS.csv,lap,6,47684,1192.347533,1.307056,2872.268,16.082,0.273808,,-0.120641,35.52836074,-97.47576357,25.906,54.625,-6.626,22.767,1.160
VN300_2026-07-12_14-41-49_VNINS.csv,lap,6,47685,1192.347533,1.307056,2872.557,16.371,0.273808,,-0.120641,35.52835847,-97.47576201,25.815,53.744,-5.938,23.649,1.160
VN300_2026-07-12_14-41-49_VNINS.csv,lap,6,47686,1192.347533,1.307056,2872.844,16.658,0.273808,,-0.120641,35.52835623,-97.47576043,25.654,52.918,-5.428,24.138,1.160
VN300_2026-07-12_14-41-49_VNINS.csv,lap,6,47687,1192.347533,1.307056,2873.130,16.944,0.080278,,-0.120641,35.52835401,-97.47575884,25.449,52.144,-4.898,24.616,1.160
VN300_2026-07-12_14-41-49_VNINS.csv,lap,6,47688,1192.347533,1.307056,2873.510,17.324,0.000533,,-0.120641,35.52835183,-97.47575560,25.617,51.421,-4.524,25.093,1.140
