name,source,samples,start_s,end_s,duration_s,distance_m,max_speed_mph,avg_speed_mph,min_lat,max_lat,min_lon,max_lon,segment_type,segment_number,delta_to_best_s,best_after_segment_s,is_new_best
VN300_2026-07-12_14-41-49_VNINS,VN300_2026-07-12_14-41-49_VNINS.csv,56466,0.25473,1411.663597,1411.4088669999999,4305.221160776933,80.20633308387433,6.823327871340921,35.52779165,35.53051972,-97.47585233,-97.47417531,,,,,
VN300_2026-07-12_14-41-49_VNINS_lap_01,VN300_2026-07-12_14-41-49_VNINS.csv,1326,276.610878,309.540894,32.930015999999966,552.6571417198393,47.224933977022566,37.542004759468156,35.52849879,35.53050813,-97.47578304,-97.47490874,lap,1,,32.930015999999966,True
VN300_2026-07-12_14-41-49_VNINS_lap_02,VN300_2026-07-12_14-41-49_VNINS.csv,887,309.540894,331.81293,22.272036000000014,445.14567757586167,69.94192274697244,44.709092668532385,35.52839986,35.5299659,-97.47585233,-97.47520419,lap,2,-10.657979999999952,22.272036000000014,True
VN300_2026-07-12_14-41-49_VNINS_lap_03,VN300_2026-07-12_14-41-49_VNINS.csv,32185,331.81293,1136.285348,804.4724180000001,487.8309526736739,45.74384358845087,1.3564750487759527,35.52779194,35.52850439,-97.47583009,-97.47444944,lap,3,782.200382,22.272036000000014,False
VN300_2026-07-12_14-41-49_VNINS_lap_04,VN300_2026-07-12_14-41-49_VNINS.csv,1305,1136.285348,1168.992346,32.706997999999885,690.2131717635546,80.20633308387433,47.20588826902889,35.52849795,35.53051698,-97.47577499,-97.47417531,lap,4,10.43496199999987,22.272036000000014,False
VN300_2026-07-12_14-41-49_VNINS_lap_05,VN300_2026-07-12_14-41-49_VNINS.csv,885,1168.992346,1191.040477,22.048131000000012,416.108709395412,74.2115347348427,42.21712368751296,35.52838776,35.52997279,-97.47584501,-97.47519714,lap,5,-0.22390500000000202,22.048131000000012,True
VN300_2026-07-12_14-41-49_VNINS_lap_06,VN300_2026-07-12_14-41-49_VNINS.csv,881,1191.040477,1212.967967,21.927490000000034,190.1373798737236,43.94926335249922,19.396894287688,35.5279733,35.52850097,-97.47580586,-97.47493119,lap,6,-0.1206409999999778,21.927490000000034,True
VN300_2026-07-12_14-41-49_VNINS_lap_07,VN300_2026-07-12_14-41-49_VNINS.csv,1254,1212.967967,1244.270049,31.302081999999928,554.2726332818847,48.09487652671187,39.60990738910226,35.5284983,35.53051972,-97.47578919,-97.47491613,lap,7,9.374591999999893,21.927490000000034,False
VN300_2026-07-12_14-41-49_VNINS_lap_08,VN300_2026-07-12_14-41-49_VNINS.csv,853,1244.270049,1265.782743,21.51269400000001,476.9128665607045,67.63365108141568,49.59042783665699,35.52839477,35.52997235,-97.47584168,-97.47520232,lap,8,-0.4147960000000239,21.51269400000001,True
