source,segment_type,segment_number,row_index,time_s,segment_time_s,distance_m,segment_distance_m,live_delta_to_best_s,live_delta_error,final_delta_to_best_s,lat,lon,speed_mph,yaw_deg,pitch_deg,roll_deg,pos_uncertainty_m
VN300_2026-07-12_14-41-49_VNINS.csv,lap,7,48516,1212.967967,0.000000,3046.323,0.000,0.000000,,9.374592,35.52850097,-97.47498902,43.368,1.354,6.579,-1.591,0.730
VN300_2026-07-12_14-41-49_VNINS.csv,lap,7,48517,1212.967967,0.000000,3046.808,0.484,0.000000,,9.374592,35.52850530,-97.47498844,43.263,0.798,6.592,-1.649,0.730
VN300_2026-07-12_14-41-49_VNINS.csv,lap,7,48518,1213.247193,0.279226,3047.292,0.969,0.279226,,9.374592,35.52850963,-97.47498785,43.122,0.218,6.631,-1.812,0.730
VN300_2026-07-12_14-41-49_VNINS.csv,lap,7,48519,1213.247193,0.279226,3048.134,1.811,0.078420,,9.374592,35.52851472,-97.47499474,43.195,-0.349,6.658,-1.610,0.720
VN300_2026-07-12_14-41-49_VNINS.csv,lap,7,48520,1213.247193,0.279226,3048.619,2.295,-0.000065,,9.374592,35.52851906,-97.47499427,43.252,-0.907,6.639,-1.654,0.720
VN300_2026-07-12_14-41-49_VNINS.csv,lap,7,48521,1213.247193,0.279226,3049.103,2.780,-0.000065,,9.374592,35.52852340,-97.47499380,43.158,-1.451,6.578,-1.909,0.720
VN300_2026-07-12_14-41-49_VNINS.csv,lap,7,48522,1213.247193,0.279226,3049.585,3.262,-0.000065,,9.374592,35.52852772,-97.47499335,43.079,-1.959,6.604,-1.835,0.730
VN300_2026-07-12_14-41-49_VNINS.csv,lap,7,48523,1213.247193,0.279226,3050.068,3.745,-0.000065,,9.374592,35.52853205,-97.47499289,43.264,-2.287,6.717,-2.015,0.730
VN300_2026-07-12_14-41-49_VNINS.csv,lap,7,48524,1213.247193,0.279226,3050.554,4.230,-0.000065,,9.374592,35.52853640,-97.47499245,43.435,-2.463,6.947,-2.092,0.730
VN300_2026-07-12_14-41-49_VNINS.csv,lap,7,48525,1213.247193,0.279226,3051.041,4.718,-0.000065,,9.374592,35.52854077,-97.47499200,43.582,-2.450,7.120,-2.165,0.730
VN300_2026-07-12_14-41-49_VNINS.csv,lap,7,48526,1213.247193,0.279226,3051.530,5.207,-0.000065,,9.374592,35.52854515,-97.47499155,43.720,-2.304,7.157,-2.446,0.730
VN300_2026-07-12_14-41-49_VNINS.csv,lap,7,48527,1213.247193,0.279226,3052.020,5.697,-0.180432,,9.374592,35.52854954,-97.47499106,43.726,-2.023,7.023,-2.573,0.730
VN300_2026-07-12_14-41-49_VNINS.csv,lap,7,48528,1213.247193,0.279226,3052.867,6.544,-0.253812,,9.374592,35.52855464,-97.47499801,43.961,-1.742,6.828,-2.682,0.720
VN300_2026-07-12_14-41-49_VNINS.csv,lap,7,48529,1213.500995,0.533028,3053.363,7.039,-0.000010,,9.374592,35.52855908,-97.47499756,44.186,-1.344,6.694,-3.014,0.730
VN300_2026-07-12_14-41-49_VNINS.csv,lap,7,48530,1213.500995,0.533028,3053.858,7.535,-0.000010,,9.374592,35.52856352,-97.47499707,44.244,-0.854,6.729,-3.149,0.730
VN300_2026-07-12_14-41-49_VNINS.csv,lap,7,48531,1213.500995,0.533028,3054.353,8.030,-0.000010,,9.374592,35.52856795,-97.47499655,44.157,-0.309,6.813,-3.147,0.730
VN300_2026-07-12_14-41-49_VNINS.csv,lap,7,48532,1213.500995,0.533028,3054.846,8.523,-0.000010,,9.374592,35.52857236,-97.47499598,43.824,0.239,6.812,-3.262,0.730
VN300_2026-07-12_14-41-49_VNINS.csv,lap,7,48533,1213.500995,0.533028,3055.336,9.013,-0.136664,,9.374592,35.52857674,-97.47499535,43.594,0.844,6.748,-3.298,0.730
VN300_2026-07-12_14-41-49_VNINS.csv,lap,7,48534,1213.500995,0.533028,3055.825,9.502,-0.253549,,9.374592,35.52858110,-97.47499466,43.721,1.543,6.735,-3.267,0.730
VN300_2026-07-12_14-41-49_VNINS.csv,lap,7,48535,1213.500995,0.533028,3056.587,10.264,-0.253549,,9.374592,35.52858639,-97.47500001,43.820,2.272,6.756,-3.311,0.720
VN300_2026-07-12_14-41-49_VNINS.csv,lap,7,48536,1213.500995,0.533028,3057.077,10.754,-0.253549,,9.374592,35.52859076,-97.47499931,43.720,2.969,6.838,-3.166,0.720
VN300_2026-07-12_14-41-49_VNINS.csv,lap,7,48537,1213.500995,0.533028,3057.567,11.243,-0.253549,,9.374592,35.52859512,-97.47499857,43.639,3.573,6.897,-3.107,0.730
VN300_2026-07-12_14-41-49_VNINS.csv,lap,7,48538,1213.500995,0.533028,3058.057,11.733,-0.253549,,9.374592,35.52859948,-97.47499778,43.723,4.137,6.946,-3.180,0.730
VN300_2026-07-12_14-41-49_VNINS.csv,lap,7,48539,1213.754479,0.786512,3058.547,12.224,-0.089759,,9.374592,35.52860384,-97.47499696,43.726,4.664,7.076,-3.213,0.730
VN300_2026-07-12_14-41-49_VNINS.csv,lap,7,48540,1213.754479,0.786512,3059.037,12.714,-0.253620,,9.374592,35.52860819,-97.47499608,43.900,5.159,7.150,-3.295,0.730
