source,segment_type,segment_number,row_index,time_s,segment_time_s,distance_m,segment_distance_m,live_delta_to_best_s,live_delta_error,final_delta_to_best_s,lat,lon,speed_mph,yaw_deg,pitch_deg,roll_deg,pos_uncertainty_m
VN300_2026-07-12_14-41-49_VNINS.csv,lap,5,46752,1168.992346,0.000000,2440.077,0.000,0.000000,,-0.223905,35.52849795,-97.47519714,33.319,-140.015,33.704,-65.469,1.480
VN300_2026-07-12_14-41-49_VNINS.csv,lap,5,46753,1168.992346,0.000000,2440.448,0.370,-0.233890,,-0.223905,35.52849498,-97.47519899,32.969,-139.648,34.056,-66.008,1.480
VN300_2026-07-12_14-41-49_VNINS.csv,lap,5,46754,1168.992346,0.000000,2440.812,0.735,-0.273597,,-0.223905,35.52849206,-97.47520082,32.410,-139.300,34.374,-65.802,1.480
VN300_2026-07-12_14-41-49_VNINS.csv,lap,5,46755,1168.992346,0.000000,2441.173,1.096,-0.273597,,-0.223905,35.52848918,-97.47520267,32.126,-138.893,34.721,-65.891,1.480
VN300_2026-07-12_14-41-49_VNINS.csv,lap,5,46756,1168.992346,0.000000,2441.531,1.454,-0.273597,,-0.223905,35.52848634,-97.47520453,31.948,-138.518,34.902,-66.108,1.490
VN300_2026-07-12_14-41-49_VNINS.csv,lap,5,46757,1168.992346,0.000000,2441.886,1.808,-0.273597,,-0.223905,35.52848353,-97.47520638,31.506,-138.229,35.206,-66.188,1.490
VN300_2026-07-12_14-41-49_VNINS.csv,lap,5,46758,1168.992346,0.000000,2442.237,2.160,-0.273597,,-0.223905,35.52848076,-97.47520825,31.384,-137.775,35.365,-66.317,1.490
VN300_2026-07-12_14-41-49_VNINS.csv,lap,5,46759,1169.264811,0.272465,2442.737,2.659,-0.001132,,-0.223905,35.52847689,-97.47521105,31.720,-137.209,35.588,-66.213,1.440
VN300_2026-07-12_14-41-49_VNINS.csv,lap,5,46760,1169.264811,0.272465,2443.093,3.016,-0.001132,,-0.223905,35.52847412,-97.47521303,31.805,-136.539,35.785,-66.420,1.440
VN300_2026-07-12_14-41-49_VNINS.csv,lap,5,46761,1169.264811,0.272465,2443.447,3.370,-0.001132,,-0.223905,35.52847137,-97.47521500,31.552,-135.989,36.189,-66.204,1.440
VN300_2026-07-12_14-41-49_VNINS.csv,lap,5,46762,1169.264811,0.272465,2443.797,3.720,-0.001132,,-0.223905,35.52846866,-97.47521698,31.279,-135.363,36.612,-65.695,1.440
VN300_2026-07-12_14-41-49_VNINS.csv,lap,5,46763,1169.264811,0.272465,2444.149,4.072,-0.001132,,-0.223905,35.52846597,-97.47521902,31.236,-134.707,37.145,-65.478,1.440
VN300_2026-07-12_14-41-49_VNINS.csv,lap,5,46764,1169.264811,0.272465,2444.497,4.419,-0.020454,,-0.223905,35.52846333,-97.47522108,31.054,-134.039,37.642,-65.084,1.440
VN300_2026-07-12_14-41-49_VNINS.csv,lap,5,46765,1169.264811,0.272465,2444.843,4.766,-0.227392,,-0.223905,35.52846072,-97.47522317,30.850,-133.393,38.329,-64.689,1.440
VN300_2026-07-12_14-41-49_VNINS.csv,lap,5,46766,1169.264811,0.272465,2445.187,5.109,-0.254961,,-0.223905,35.52845815,-97.47522528,30.645,-132.628,38.824,-64.163,1.440
VN300_2026-07-12_14-41-49_VNINS.csv,lap,5,46767,1169.264811,0.272465,2445.701,5.624,-0.254961,,-0.223905,35.52845461,-97.47522894,31.121,-131.731,39.258,-63.782,1.390
VN300_2026-07-12_14-41-49_VNINS.csv,lap,5,46768,1169.264811,0.272465,2446.052,5.975,-0.254961,,-0.223905,35.52845206,-97.47523123,30.951,-130.748,39.439,-63.433,1.390
VN300_2026-07-12_14-41-49_VNINS.csv,lap,5,46769,1169.264811,0.272465,2446.396,6.318,-0.254961,,-0.223905,35.52844958,-97.47523349,30.539,-129.878,39.743,-62.833,1.390
VN300_2026-07-12_14-41-49_VNINS.csv,lap,5,46770,1169.518663,0.526317,2446.736,6.659,-0.001109,,-0.223905,35.52844715,-97.47523578,30.360,-129.009,39.959,-62.354,1.390
VN300_2026-07-12_14-41-49_VNINS.csv,lap,5,46771,1169.518663,0.526317,2447.075,6.998,-0.001109,,-0.223905,35.52844476,-97.47523810,30.179,-128.244,40.376,-62.036,1.390
VN300_2026-07-12_14-41-49_VNINS.csv,lap,5,46772,1169.518663,0.526317,2447.412,7.335,-0.001109,,-0.223905,35.52844241,-97.47524046,30.023,-127.545,40.751,-61.612,1.390
VN300_2026-07-12_14-41-49_VNINS.csv,lap,5,46773,1169.518663,0.526317,2447.747,7.670,-0.001109,,-0.223905,35.52844009,-97.47524282,29.810,-126.911,41.226,-61.260,1.400
VN300_2026-07-12_14-41-49_VNINS.csv,lap,5,46774,1169.518663,0.526317,2448.079,8.002,-0.001109,,-0.223905,35.52843782,-97.47524520,29.584,-126.136,41.434,-60.803,1.400
VN300_2026-07-12_14-41-49_VNINS.csv,lap,5,46775,1169.518663,0.526317,2448.612,8.535,-0.170706,,-0.223905,35.52843510,-97.47525005,30.416,-125.318,41.651,-60.394,1.350
VN300_2026-07-12_14-41-49_VNINS.csv,lap,5,46776,1169.518663,0.526317,2448.952,8.875,-0.254672,,-0.223905,35.52843288,-97.47525264,30.387,-124.417,41.634,-59.853,1.350
VN300_2026-07-12_14-41-49_VNINS.csv,lap,5,46777,1169.518663,0.526317,2449.293,9.216,-0.254672,,-0.223905,35.52843068,-97.47525526,30.310,-123.567,41.808,-59.141,1.350
VN300_2026-07-12_14-41-49_VNINS.csv,lap,5,46778,1169.518663,0.526317,2449.631,9.554,-0.254672,,-0.223905,35.52842852,-97.47525789,30.141,-122.657,41.750,-58.311,1.350
