source,segment_type,segment_number,row_index,time_s,segment_time_s,distance_m,segment_distance_m,live_delta_to_best_s,live_delta_error,final_delta_to_best_s,lat,lon,speed_mph,yaw_deg,pitch_deg,roll_deg,pos_uncertainty_m
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45448,1136.285348,0.000000,1749.864,0.000,0.000000,,10.434962,35.52850439,-97.47482095,45.744,-3.555,-0.527,0.387,1.360
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45449,1136.285348,0.000000,1750.376,0.512,-0.273597,,10.434962,35.52850894,-97.47482006,46.068,-3.647,-0.434,0.588,1.370
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45450,1136.538819,0.253471,1750.893,1.029,-0.020126,,10.434962,35.52851353,-97.47481915,46.341,-3.741,-0.352,0.501,1.370
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45451,1136.538819,0.253471,1751.412,1.548,-0.020126,,10.434962,35.52851814,-97.47481826,46.631,-3.884,-0.289,0.713,1.380
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45452,1136.538819,0.253471,1751.936,2.072,-0.020126,,10.434962,35.52852279,-97.47481736,47.001,-4.072,-0.314,0.766,1.390
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45453,1136.538819,0.253471,1752.463,2.598,-0.020126,,10.434962,35.52852747,-97.47481645,47.261,-4.296,-0.322,0.853,1.390
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45454,1136.538819,0.253471,1752.993,3.129,-0.020126,,10.434962,35.52853218,-97.47481553,47.625,-4.470,-0.324,0.863,1.400
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45455,1136.538819,0.253471,1753.609,3.745,-0.020126,,10.434962,35.52853710,-97.47481866,48.002,-4.630,-0.311,0.876,1.390
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45456,1136.538819,0.253471,1754.147,4.283,-0.020126,,10.434962,35.52854188,-97.47481774,48.278,-4.743,-0.308,0.951,1.400
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45457,1136.538819,0.253471,1754.688,4.824,-0.273955,,10.434962,35.52854669,-97.47481682,48.640,-4.830,-0.298,1.004,1.410
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45458,1136.538819,0.253471,1755.233,5.369,-0.273955,,10.434962,35.52855153,-97.47481589,48.929,-4.884,-0.296,0.915,1.420
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45459,1136.538819,0.253471,1755.782,5.918,-0.273955,,10.434962,35.52855641,-97.47481493,49.346,-4.911,-0.268,0.841,1.420
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45460,1136.538819,0.253471,1756.336,6.472,-0.273955,,10.434962,35.52856132,-97.47481393,49.759,-4.854,-0.254,0.865,1.430
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45461,1137.262575,0.977227,1756.893,7.029,0.449801,,10.434962,35.52856626,-97.47481289,50.062,-4.742,-0.334,0.805,1.440
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45462,1137.262575,0.977227,1757.454,7.590,0.449801,,10.434962,35.52857123,-97.47481181,50.435,-4.608,-0.467,0.749,1.450
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45463,1137.262575,0.977227,1758.113,8.248,0.449801,,10.434962,35.52857650,-97.47481512,50.890,-4.436,-0.556,0.755,1.440
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45464,1137.262575,0.977227,1758.684,8.820,0.196238,,10.434962,35.52858155,-97.47481397,51.364,-4.281,-0.559,0.741,1.450
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45465,1137.262575,0.977227,1759.260,9.396,0.196238,,10.434962,35.52858664,-97.47481279,51.629,-4.156,-0.445,0.715,1.450
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45466,1137.262575,0.977227,1759.838,9.974,0.196238,,10.434962,35.52859175,-97.47481157,52.081,-4.037,-0.321,0.740,1.460
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45467,1137.262575,0.977227,1760.424,10.560,0.196238,,10.434962,35.52859691,-97.47481030,52.538,-3.980,-0.240,0.775,1.470
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45468,1137.262575,0.977227,1761.012,11.148,0.196238,,10.434962,35.52860210,-97.47480901,52.743,-4.049,-0.283,0.901,1.480
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45469,1137.262575,0.977227,1761.603,11.739,0.196238,,10.434962,35.52860730,-97.47480770,53.079,-4.240,-0.373,1.002,1.480
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45470,1137.262575,0.977227,1762.198,12.333,0.196238,,10.434962,35.52861254,-97.47480637,53.349,-4.544,-0.468,1.033,1.490
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45471,1137.262575,0.977227,1762.883,13.019,-0.057544,,10.434962,35.52861804,-97.47480979,53.506,-4.968,-0.511,1.186,1.480
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45472,1137.262575,0.977227,1763.483,13.619,-0.057544,,10.434962,35.52862333,-97.47480850,53.742,-5.460,-0.500,1.250,1.490
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45473,1137.262575,0.977227,1764.084,14.220,-0.057544,,10.434962,35.52862863,-97.47480717,53.868,-6.016,-0.455,1.405,1.500
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45474,1137.262575,0.977227,1764.686,14.821,-0.057544,,10.434962,35.52863393,-97.47480585,53.787,-6.574,-0.485,1.579,1.510
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45475,1137.262575,0.977227,1765.287,15.423,-0.057544,,10.434962,35.52863923,-97.47480453,53.832,-7.108,-0.535,1.580,1.520
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45476,1137.262575,0.977227,1765.888,16.024,-0.153391,,10.434962,35.52864453,-97.47480323,53.677,-7.599,-0.627,1.524,1.520
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45477,1137.262575,0.977227,1766.487,16.623,-0.322482,,10.434962,35.52864982,-97.47480194,53.643,-8.006,-0.647,1.654,1.530
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45478,1137.262575,0.977227,1767.086,17.222,-0.322482,,10.434962,35.52865510,-97.47480066,53.420,-8.268,-0.633,1.620,1.540
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45479,1137.262575,0.977227,1767.822,17.958,-0.322482,,10.434962,35.52866087,-97.47480465,53.058,-8.420,-0.702,1.613,1.540
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45480,1137.262575,0.977227,1768.414,18.550,-0.322482,,10.434962,35.52866610,-97.47480342,52.954,-8.430,-0.802,1.500,1.540
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45481,1137.262575,0.977227,1769.006,19.141,-0.322482,,10.434962,35.52867132,-97.47480217,52.866,-8.337,-0.855,1.236,1.550
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45482,1137.262575,0.977227,1769.593,19.729,-0.535091,,10.434962,35.52867651,-97.47480093,52.582,-8.160,-0.886,1.234,1.560
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45483,1137.262575,0.977227,1770.180,20.316,-0.576077,,10.434962,35.52868169,-97.47479968,52.434,-7.896,-0.880,1.173,1.570
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45484,1137.262575,0.977227,1770.765,20.901,-0.576077,,10.434962,35.52868685,-97.47479843,52.301,-7.577,-0.820,0.948,1.580
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45485,1137.262575,0.977227,1771.349,21.485,-0.576077,,10.434962,35.52869200,-97.47479717,52.115,-7.235,-0.753,0.764,1.580
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45486,1137.262575,0.977227,1771.930,22.066,-0.576077,,10.434962,35.52869712,-97.47479591,51.931,-6.872,-0.682,0.743,1.590
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45487,1137.262575,0.977227,1772.636,22.772,-0.576077,,10.434962,35.52870253,-97.47479999,51.813,-6.501,-0.684,0.610,1.580
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45488,1137.262575,0.977227,1773.213,23.349,-0.829874,,10.434962,35.52870762,-97.47479875,51.652,-6.093,-0.713,0.469,1.590
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45489,1137.521725,1.236377,1773.790,23.926,-0.570724,,10.434962,35.52871271,-97.47479747,51.638,-5.676,-0.740,0.326,1.600
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45490,1137.521725,1.236377,1774.366,24.502,-0.570724,,10.434962,35.52871778,-97.47479617,51.575,-5.187,-0.736,0.265,1.610
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45491,1137.521725,1.236377,1774.943,25.079,-0.570724,,10.434962,35.52872285,-97.47479482,51.558,-4.659,-0.751,0.153,1.620
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45492,1137.521725,1.236377,1775.519,25.654,-0.570724,,10.434962,35.52872790,-97.47479343,51.474,-4.087,-0.779,0.029,1.620
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45493,1137.521725,1.236377,1776.092,26.228,-0.824112,,10.434962,35.52873293,-97.47479202,51.425,-3.496,-0.814,-0.004,1.630
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45494,1137.521725,1.236377,1776.667,26.803,-0.824112,,10.434962,35.52873796,-97.47479056,51.411,-2.848,-0.887,-0.049,1.640
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45495,1137.521725,1.236377,1777.333,27.469,-0.824112,,10.434962,35.52874306,-97.47479443,51.374,-2.176,-0.920,-0.208,1.630
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45496,1137.521725,1.236377,1777.907,28.043,-0.824112,,10.434962,35.52874807,-97.47479293,51.392,-1.474,-0.965,-0.357,1.640
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45497,1137.521725,1.236377,1778.481,28.617,-0.824112,,10.434962,35.52875308,-97.47479139,51.365,-0.725,-0.978,-0.435,1.650
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45498,1137.521725,1.236377,1779.054,29.190,-1.100484,,10.434962,35.52875807,-97.47478980,51.349,0.061,-1.011,-0.600,1.660
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45499,1137.521725,1.236377,1779.628,29.764,-1.100484,,10.434962,35.52876306,-97.47478818,51.303,0.868,-1.007,-0.694,1.660
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45500,1137.775476,1.490128,1780.201,30.337,-0.846733,,10.434962,35.52876803,-97.47478652,51.303,1.695,-1.023,-0.937,1.670
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45501,1137.775476,1.490128,1780.774,30.910,-0.846733,,10.434962,35.52877299,-97.47478481,51.355,2.532,-1.016,-1.082,1.680
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45502,1137.775476,1.490128,1781.348,31.484,-0.986746,,10.434962,35.52877795,-97.47478304,51.347,3.407,-1.024,-1.109,1.690
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45503,1137.775476,1.490128,1781.935,32.070,-1.100604,,10.434962,35.52878249,-97.47478634,51.275,4.284,-0.989,-1.316,1.680
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45504,1137.775476,1.490128,1782.507,32.643,-1.100604,,10.434962,35.52878742,-97.47478452,51.218,5.146,-0.972,-1.477,1.680
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45505,1137.775476,1.490128,1783.078,33.214,-1.100604,,10.434962,35.52879233,-97.47478267,51.187,5.993,-0.916,-1.465,1.690
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45506,1137.775476,1.490128,1783.651,33.787,-1.100604,,10.434962,35.52879724,-97.47478076,51.303,6.823,-0.839,-1.575,1.700
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45507,1137.775476,1.490128,1784.223,34.359,-1.335078,,10.434962,35.52880214,-97.47477882,51.262,7.556,-0.702,-1.646,1.710
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45508,1137.775476,1.490128,1784.796,34.932,-1.353983,,10.434962,35.52880703,-97.47477682,51.325,8.217,-0.667,-1.728,1.720
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45509,1137.775476,1.490128,1785.371,35.507,-1.353983,,10.434962,35.52881192,-97.47477477,51.415,8.781,-0.667,-1.855,1.720
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45510,1138.041336,1.755988,1785.945,36.081,-1.088123,,10.434962,35.52881680,-97.47477268,51.454,9.280,-0.627,-1.836,1.730
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45511,1138.041336,1.755988,1786.403,36.539,-1.088123,,10.434962,35.52882054,-97.47477480,51.477,9.798,-0.561,-1.759,1.720
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45512,1138.041336,1.755988,1786.980,37.115,-1.137962,,10.434962,35.52882542,-97.47477266,51.588,10.251,-0.417,-1.485,1.730
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45513,1138.041336,1.755988,1787.556,37.692,-1.341586,,10.434962,35.52883029,-97.47477047,51.706,10.661,-0.313,-1.539,1.740
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45514,1138.041336,1.755988,1788.135,38.271,-1.341586,,10.434962,35.52883517,-97.47476825,51.803,11.022,-0.234,-1.516,1.740
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45515,1138.041336,1.755988,1788.714,38.850,-1.341586,,10.434962,35.52884004,-97.47476598,51.984,11.326,-0.257,-1.413,1.750
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45516,1138.041336,1.755988,1789.296,39.432,-1.341586,,10.434962,35.52884493,-97.47476368,52.269,11.648,-0.267,-0.931,1.760
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45517,1138.041336,1.755988,1789.883,40.019,-1.341586,,10.434962,35.52884984,-97.47476131,52.644,11.998,-0.282,-1.014,1.770
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45518,1138.041336,1.755988,1790.471,40.607,-1.716632,,10.434962,35.52885476,-97.47475891,52.835,12.251,-0.319,-1.022,1.780
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45519,1138.041336,1.755988,1790.862,40.998,-1.716632,,10.434962,35.52885814,-97.47476008,52.948,12.477,-0.437,-0.768,1.760
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45520,1138.041336,1.755988,1791.455,41.591,-1.716632,,10.434962,35.52886309,-97.47475763,53.306,12.658,-0.580,-0.790,1.770
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45521,1138.295155,2.009807,1792.052,42.188,-1.462813,,10.434962,35.52886806,-97.47475515,53.603,12.807,-0.650,-0.665,1.780
VN300_2026-07-12_14-41-49_VNINS.csv,lap,4,45522,1138.295155,2.009807,1792.653,42.789,-1.462813,,10.434962,35.52887306,-97.47475263,53.935,12.983,-0.603,-0.578,1.790
