source,segment_type,segment_number,row_index,time_s,segment_time_s,distance_m,segment_distance_m,live_delta_to_best_s,live_delta_error,final_delta_to_best_s,lat,lon,speed_mph,yaw_deg,pitch_deg,roll_deg,pos_uncertainty_m
VN300_2026-07-12_14-41-49_VNINS.csv,lap,1,11053,276.610878,0.000000,264.230,0.000,,no best reference,,35.52850166,-97.47499908,38.535,47.382,-0.675,1.457,1.560
VN300_2026-07-12_14-41-49_VNINS.csv,lap,1,11054,276.610878,0.000000,264.662,0.432,,no best reference,,35.52850554,-97.47499919,38.677,47.092,-0.605,1.494,1.570
VN300_2026-07-12_14-41-49_VNINS.csv,lap,1,11055,276.610878,0.000000,265.112,0.881,,no best reference,,35.52850944,-97.47500051,38.687,46.820,-0.559,1.630,1.500
VN300_2026-07-12_14-41-49_VNINS.csv,lap,1,11056,276.610878,0.000000,265.545,1.314,,no best reference,,35.52851333,-97.47500072,38.712,46.578,-0.605,1.628,1.500
VN300_2026-07-12_14-41-49_VNINS.csv,lap,1,11057,276.610878,0.000000,265.978,1.747,,no best reference,,35.52851722,-97.47500097,38.601,46.353,-0.723,1.546,1.500
VN300_2026-07-12_14-41-49_VNINS.csv,lap,1,11058,276.610878,0.000000,266.411,2.181,,no best reference,,35.52852111,-97.47500121,38.682,46.120,-0.838,1.588,1.500
VN300_2026-07-12_14-41-49_VNINS.csv,lap,1,11059,276.610878,0.000000,266.844,2.614,,no best reference,,35.52852500,-97.47500147,38.649,45.941,-0.874,1.565,1.500
VN300_2026-07-12_14-41-49_VNINS.csv,lap,1,11060,276.610878,0.000000,267.276,3.046,,no best reference,,35.52852888,-97.47500174,38.636,45.863,-0.834,1.529,1.500
VN300_2026-07-12_14-41-49_VNINS.csv,lap,1,11061,276.610878,0.000000,267.706,3.476,,no best reference,,35.52853274,-97.47500203,38.169,45.850,-0.863,1.622,1.500
VN300_2026-07-12_14-41-49_VNINS.csv,lap,1,11062,276.864295,0.253417,268.131,3.900,,no best reference,,35.52853655,-97.47500230,37.852,45.918,-1.016,1.437,1.500
VN300_2026-07-12_14-41-49_VNINS.csv,lap,1,11063,276.864295,0.253417,268.622,4.392,,no best reference,,35.52854060,-97.47500447,37.890,46.094,-1.136,1.214,1.450
VN300_2026-07-12_14-41-49_VNINS.csv,lap,1,11064,276.864295,0.253417,269.045,4.815,,no best reference,,35.52854439,-97.47500490,37.703,46.335,-1.172,1.145,1.450
